sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2011,10,5
1,CAMILLE,2011,11,4
1,CAMILLE,2011,12,4
1,CAMILLE,2011,13,29
1,CAMILLE,2011,14,13
1,CAMILLE,2011,17,15
1,CAMILLE,2011,18,3
1,CAMILLE,2011,19,11
1,CAMILLE,2011,20,5
1,CAMILLE,2011,21,7
1,CAMILLE,2011,22,3
1,CAMILLE,2011,25,13
1,CAMILLE,2011,26,8
1,CAMILLE,2011,28,4
1,CAMILLE,2011,29,15
1,CAMILLE,2011,30,7
1,CAMILLE,2011,31,21
1,CAMILLE,2011,33,25
1,CAMILLE,2011,34,16
1,CAMILLE,2011,35,17
1,CAMILLE,2011,36,5
1,CAMILLE,2011,37,13
1,CAMILLE,2011,38,22
1,CAMILLE,2011,39,3
1,CAMILLE,2011,41,7
1,CAMILLE,2011,42,10
1,CAMILLE,2011,44,34
1,CAMILLE,2011,45,8
1,CAMILLE,2011,47,5
1,CAMILLE,2011,49,9
1,CAMILLE,2011,50,6
1,CAMILLE,2011,51,17
1,CAMILLE,2011,53,4
1,CAMILLE,2011,54,7
1,CAMILLE,2011,56,9
1,CAMILLE,2011,57,7
1,CAMILLE,2011,59,35
1,CAMILLE,2011,60,5
1,CAMILLE,2011,62,12
1,CAMILLE,2011,63,17
1,CAMILLE,2011,64,4
1,CAMILLE,2011,66,4
1,CAMILLE,2011,67,7
1,CAMILLE,2011,68,3
1,CAMILLE,2011,69,34
1,CAMILLE,2011,70,3
1,CAMILLE,2011,71,9
1,CAMILLE,2011,72,10
1,CAMILLE,2011,73,8
1,CAMILLE,2011,74,18
1,CAMILLE,2011,75,70
1,CAMILLE,2011,76,21
1,CAMILLE,2011,77,12
1,CAMILLE,2011,78,22
1,CAMILLE,2011,79,11
1,CAMILLE,2011,80,12
1,CAMILLE,2011,83,11
1,CAMILLE,2011,84,6
1,CAMILLE,2011,85,11
1,CAMILLE,2011,86,6
1,CAMILLE,2011,87,3
1,CAMILLE,2011,89,5
1,CAMILLE,2011,90,5
1,CAMILLE,2011,91,5
1,CAMILLE,2011,92,35
1,CAMILLE,2011,93,8
1,CAMILLE,2011,94,13
1,CAMILLE,2011,95,10
1,CAMILLE,2011,971,4
1,CAMILLE,2011,974,7
1,CAMILLE,2012,01,4
1,CAMILLE,2012,02,6
1,CAMILLE,2012,06,3
1,CAMILLE,2012,07,6
1,CAMILLE,2012,08,4
1,CAMILLE,2012,11,4
1,CAMILLE,2012,12,4
1,CAMILLE,2012,13,25
1,CAMILLE,2012,14,15
1,CAMILLE,2012,15,3
1,CAMILLE,2012,16,5
1,CAMILLE,2012,17,11
1,CAMILLE,2012,18,3
1,CAMILLE,2012,19,3
1,CAMILLE,2012,21,7
1,CAMILLE,2012,22,11
1,CAMILLE,2012,25,9
1,CAMILLE,2012,26,7
1,CAMILLE,2012,27,4
1,CAMILLE,2012,29,7
1,CAMILLE,2012,30,9
1,CAMILLE,2012,31,20
1,CAMILLE,2012,33,25
1,CAMILLE,2012,34,9
1,CAMILLE,2012,35,22
1,CAMILLE,2012,37,12
1,CAMILLE,2012,38,18
1,CAMILLE,2012,39,7
1,CAMILLE,2012,41,3
1,CAMILLE,2012,42,12
1,CAMILLE,2012,44,39
1,CAMILLE,2012,45,6
1,CAMILLE,2012,49,14
1,CAMILLE,2012,50,5
1,CAMILLE,2012,51,13
1,CAMILLE,2012,53,8
1,CAMILLE,2012,54,11
1,CAMILLE,2012,56,10
1,CAMILLE,2012,57,11
1,CAMILLE,2012,59,32
1,CAMILLE,2012,60,9
1,CAMILLE,2012,62,14
1,CAMILLE,2012,63,15
1,CAMILLE,2012,64,8
1,CAMILLE,2012,66,8
1,CAMILLE,2012,67,8
1,CAMILLE,2012,68,8
1,CAMILLE,2012,69,38
1,CAMILLE,2012,71,9
1,CAMILLE,2012,72,11
1,CAMILLE,2012,73,4
1,CAMILLE,2012,74,18
1,CAMILLE,2012,75,82
1,CAMILLE,2012,76,16
1,CAMILLE,2012,77,16
1,CAMILLE,2012,78,11
1,CAMILLE,2012,79,9
1,CAMILLE,2012,80,9
1,CAMILLE,2012,83,10
1,CAMILLE,2012,84,15
1,CAMILLE,2012,85,9
1,CAMILLE,2012,86,6
1,CAMILLE,2012,87,3
1,CAMILLE,2012,88,4
1,CAMILLE,2012,89,5
1,CAMILLE,2012,90,3
1,CAMILLE,2012,91,7
1,CAMILLE,2012,92,28
1,CAMILLE,2012,93,11
1,CAMILLE,2012,94,20
1,CAMILLE,2012,95,13
1,CAMILLE,2012,974,8
1,CAMILLE,2013,02,10
1,CAMILLE,2013,03,4
