TRAGE_12;CE;SEXE;CS1;BRUT_EQTP;EQTP
60;N;H;3;78162;34489
60;N;H;4;43801;13159
60;N;H;5;28090;13332
60;N;H;6N;22721;13946
60;N;H;6Q;29527;24181
60;N;F;T;32754;187309
60;N;F;3;62788;23516
60;N;F;4;38446;32404
60;N;F;5;26871;94715
60;N;F;6N;22584;27233
60;N;F;6Q;26764;9441
65;T;E;T;53177;512308
65;T;E;3;96489;150213
65;T;E;4;47772;94768
65;T;E;5;31626;131433
65;T;E;6N;25598;45496
65;T;E;6Q;32085;90397
65;T;H;T;60823;288183
65;T;H;3;104147;104546
65;T;H;4;50201;47159
65;T;H;5;32201;36008
65;T;H;6N;26367;23336
65;T;H;6Q;32381;77133
65;T;F;T;43345;224125
65;T;F;3;78959;45667
65;T;F;4;45365;47609
65;T;F;5;31409;95425
65;T;F;6N;24788;22160
65;T;F;6Q;30359;13264
65;C;E;T;56688;380707
65;C;E;3;99748;119729
65;C;E;4;48733;74426
65;C;E;5;32986;86915
65;C;E;6N;27192;26613
65;C;E;6Q;33158;73024
65;C;H;T;62747;233646
65;C;H;3;107165;84964
65;C;H;4;50770;40113
65;C;H;5;32970;28324
65;C;H;6N;27600;16751
65;C;H;6Q;33433;63494
65;C;F;T;47062;147061
65;C;F;3;81620;34765
65;C;F;4;46351;34313
65;C;F;5;32994;58591
65;C;F;6N;26501;9862
65;C;F;6Q;31321;9530
65;N;E;T;43018;131602
65;N;E;3;83692;30485
65;N;E;4;44255;20342
65;N;E;5;28970;44518
65;N;E;6N;23351;18884
65;N;E;6Q;27575;17374
65;N;H;T;52578;54537
65;N;H;3;91052;19582
65;N;H;4;46965;7046
65;N;H;5;29367;7684
65;N;H;6N;23231;6585
65;N;H;6Q;27485;13639
65;N;F;T;36253;77065
65;N;F;3;70473;10903
65;N;F;4;42818;13296
65;N;F;5;28887;36834
65;N;F;6N;23415;12298
65;N;F;6Q;27903;3734
80;T;E;T;48187;111673
80;T;E;3;87161;34330
80;T;E;4;41996;14712
80;T;E;5;29648;30673
80;T;E;6N;25285;9943
80;T;E;6Q;27725;22016
80;T;H;T;52852;70561
80;T;H;3;91854;25495
80;T;H;4;42960;8032
80;T;H;5;29826;11495
80;T;H;6N;25796;5635
80;T;H;6Q;27843;19904
80;T;F;T;40181;41112
80;T;F;3;73616;8834
80;T;F;4;40838;6680
80;T;F;5;29541;19177
80;T;F;6N;24617;4308
80;T;F;6Q;26609;2112
80;C;E;T;54995;59019
80;C;E;3;97382;19608
80;C;E;4;45192;8829
80;C;E;5;31804;15465
80;C;E;6N;27061;4322
80;C;E;6Q;30426;10794
80;C;H;T;59183;39472
80;C;H;3;103161;14597
80;C;H;4;45549;5100
80;C;H;5;31355;6737
80;C;H;6N;27276;3107
80;C;H;6Q;30408;9931
80;C;F;T;46538;19547
80;C;F;3;80553;5012
80;C;F;4;44704;3729
80;C;F;5;32150;8729
80;C;F;6N;26510;1214
80;C;F;6Q;30632;863
80;N;E;T;40556;52654
80;N;E;3;73546;14721
